"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment","Number of Scans","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment","Max Intensity","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment","Average m/z","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment"
"","PS(8:0_12:0)+H",0,0,0,0,0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(8:0_12:0)+H",0,0,0,0,0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(8:0_12:0)+H",0,0,0,0,0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(8:0_12:0)+H",0,0,0,0,0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(8:0_12:0)+H",0,0,0,0,0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(8:0_12:0)+H","568.32456","383.31561","257.21116","201.14856","127.11175","183.17435","442.2208","386.1582","424.2103","368.1477","0.335309090909091","0.635309090909091","9300"
"","PS(8:0_15:0)+H",0,0,0,0,0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(8:0_15:0)+H",0,0,0,0,0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(8:0_15:0)+H",0,0,0,0,0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(8:0_15:0)+H",0,0,0,0,0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(8:0_15:0)+H",0,0,0,0,0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(8:0_15:0)+H","610.37156","425.36261","299.25816","201.14856","127.11175","225.22135","484.2678","386.1582","466.2573","368.1477","0.769251388888889","1.06925138888889","14542"
"","PS(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(8:0_18:0)+H","652.41846","467.40951","341.30506","201.14856","127.11175","267.26825","526.3147","386.1582","508.3042","368.1477","2.6957875","2.9957875","8069"
"","PS(8:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(8:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(8:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(8:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(8:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(8:0_18:1)+H","650.40286","465.39391","339.28946","201.14856","127.11175","265.25265","524.2991","386.1582","506.2886","368.1477","0.92806527777778","1.22806527777778","5931"
"","PS(8:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(8:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(8:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(8:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(8:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(8:0_19:0)+H","666.43416","481.42521","355.32076","201.14856","127.11175","281.28395","540.3304","386.1582","522.3199","368.1477","0.97390138888889","1.27390138888889","5474"
"","PS(8:0_20:0)+H",1,1,0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(8:0_20:0)+H",4.028213,4.028213,0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(8:0_20:0)+H",1,2,0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(8:0_20:0)+H",3461.459,4628533,0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(8:0_20:0)+H",680.4498,495.44145,0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(8:0_20:0)+H","680.44976","495.44081","369.33636","201.14856","127.11175","295.29955","554.346","386.1582","536.3355","368.1477","3.85204848484848","4.15204848484848","264"
"","PS(8:0_20:0)+H",0,0,0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(8:0_20:0)+H",0,0,0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(8:0_20:0)+H",0,0,0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(8:0_20:0)+H",0,0,0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(8:0_20:0)+H",0,0,0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(8:0_20:0)+H","680.44976","495.44081","369.33636","201.14856","127.11175","295.29955","554.346","386.1582","536.3355","368.1477","4.899375","5.199375","2098"
"","PS(8:0_20:0)+H",1,1,0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(8:0_20:0)+H",4.028213,4.028213,0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(8:0_20:0)+H",1,2,0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(8:0_20:0)+H",3461.459,4628533,0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(8:0_20:0)+H",680.4498,495.44145,0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(8:0_20:0)+H","680.44976","495.44081","369.33636","201.14856","127.11175","295.29955","554.346","386.1582","536.3355","368.1477","3.85645138888889","4.15645138888889","12646"
"","PS(8:0_20:0)+H",0,0,0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(8:0_20:0)+H",0,0,0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(8:0_20:0)+H",0,0,0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(8:0_20:0)+H",0,0,0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(8:0_20:0)+H",0,0,0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(8:0_20:0)+H","680.44976","495.44081","369.33636","201.14856","127.11175","295.29955","554.346","386.1582","536.3355","368.1477","4.91009027777778","5.21009027777778","12764"
"","PS(8:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(8:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(8:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(8:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(8:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(8:0_20:1)+H","678.43416","493.42521","367.32076","201.14856","127.11175","293.28395","552.3304","386.1582","534.3199","368.1477","1.40908333333333","1.70908333333333","10447"
