"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_Cer_EODS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_Cer_EODS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Number of Scans","MSDIAL_Cer_EODS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Max Intensity","MSDIAL_Cer_EODS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Average m/z","MSDIAL_Cer_EODS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_Cer_EODS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment"
"","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(CO)C(O)CCCCCCCCCCC;SNIYIYMBGBUYNA-QIALZPJRNA-N;C44H83NO5",0,0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(CO)C(O)CCCCCCCCCCC;SNIYIYMBGBUYNA-QIALZPJRNA-N;C44H83NO5",0,0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(CO)C(O)CCCCCCCCCCC;SNIYIYMBGBUYNA-QIALZPJRNA-N;C44H83NO5",0,0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(CO)C(O)CCCCCCCCCCC;SNIYIYMBGBUYNA-QIALZPJRNA-N;C44H83NO5",0,0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(CO)C(O)CCCCCCCCCCC;SNIYIYMBGBUYNA-QIALZPJRNA-N;C44H83NO5",0,0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(CO)C(O)CCCCCCCCCCC;SNIYIYMBGBUYNA-QIALZPJRNA-N;C44H83NO5","750.62534","227.2017","183.1754","266.2126","292.2282","750.6254","704.6199","494.4215","11.0025560606061","11.3025560606061","394"
"","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5","778.65664","227.2017","183.1754","294.2439","320.2595","778.6566","732.6511","522.4528","11.6581515151515","11.9581515151515","2922"
"","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:0;2O/18:2;O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;GGALOBGNHGGWIM-CHRNVFDFNA-N;C46H87NO5","778.65664","227.2017","183.1754","294.2439","320.2595","778.6566","732.6511","522.4528","11.8050363636364","12.1050363636364","2984"
"","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;JKLVSPFRYMGJCR-LTEACQRENA-N;C41H77NO5",0,0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;JKLVSPFRYMGJCR-LTEACQRENA-N;C41H77NO5",0,0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;JKLVSPFRYMGJCR-LTEACQRENA-N;C41H77NO5",0,0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;JKLVSPFRYMGJCR-LTEACQRENA-N;C41H77NO5",0,0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;JKLVSPFRYMGJCR-LTEACQRENA-N;C41H77NO5",0,0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;JKLVSPFRYMGJCR-LTEACQRENA-N;C41H77NO5","708.57839","225.1860","183.1754","226.1813","252.1969","708.5784","662.5729","454.3902","9.63075303030303","9.93075303030303","2513"
"","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;IBCJWZDBMBYPTM-AWSRMRSHNA-N;C43H81NO5",0,0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;IBCJWZDBMBYPTM-AWSRMRSHNA-N;C43H81NO5",0,0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;IBCJWZDBMBYPTM-AWSRMRSHNA-N;C43H81NO5",0,0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;IBCJWZDBMBYPTM-AWSRMRSHNA-N;C43H81NO5",0,0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;IBCJWZDBMBYPTM-AWSRMRSHNA-N;C43H81NO5",0,0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;IBCJWZDBMBYPTM-AWSRMRSHNA-N;C43H81NO5","736.60969","225.1860","183.1754","254.2126","280.2282","736.6097","690.6042","482.4215","10.5703878787879","10.8703878787879","306"
"","MSDIAL_Cer 14:0;2O/16:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCC\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;NIWMGNYAVBQGTJ-AWSRMRSHNA-N;C44H83NO5",0,0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/16:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCC\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;NIWMGNYAVBQGTJ-AWSRMRSHNA-N;C44H83NO5",0,0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/16:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCC\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;NIWMGNYAVBQGTJ-AWSRMRSHNA-N;C44H83NO5",0,0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/16:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCC\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;NIWMGNYAVBQGTJ-AWSRMRSHNA-N;C44H83NO5",0,0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/16:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCC\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;NIWMGNYAVBQGTJ-AWSRMRSHNA-N;C44H83NO5",0,0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/16:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCC\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;NIWMGNYAVBQGTJ-AWSRMRSHNA-N;C44H83NO5","750.62534","225.1860","183.1754","268.2282","294.2439","750.6254","704.6199","496.4371","11.0025560606061","11.3025560606061","394"
"","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5",0,0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5",0,0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5",0,0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5",0,0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5",0,0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5","748.60969","225.1860","183.1754","266.2126","292.2282","748.6097","702.6042","494.4215","10.6981590909091","10.9981590909091","136"
"","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5",0,0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5",0,0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5",0,0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5",0,0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5",0,0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","MSDIAL_Cer 14:0;2O/16:2;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;AHQVSQXIMABHFP-JVQJGSEKNA-N;C44H81NO5","748.60969","225.1860","183.1754","266.2126","292.2282","748.6097","702.6042","494.4215","10.5236848484849","10.8236848484849","675"
"","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5","778.65664","225.1860","183.1754","296.2595","322.2751","778.6566","732.6511","524.4684","11.6581515151515","11.9581515151515","2922"
"","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5",0,0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:0;2O/18:1;O(FA 14:1);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;HPXOIKGMEPNXIG-YHVNHGLGNA-N;C46H87NO5","778.65664","225.1860","183.1754","296.2595","322.2751","778.6566","732.6511","524.4684","11.8050363636364","12.1050363636364","2984"
